         294175 function calls (293857 primitive calls) in 13.238 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 modulefinder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 modulefinder.py:35(AddPackagePath)
        1    0.000    0.000    0.000    0.000 modulefinder.py:51(Module)
        1    0.000    0.000    0.000    0.000 modulefinder.py:75(ModuleFinder)
        1    0.000    0.000    0.000    0.000 net.py:1(<module>)
        1    0.000    0.000    0.000    0.000 net.py:16(netEvent)
       11    0.000    0.000    0.000    0.000 net.py:20(__init__)
      399    0.007    0.000    0.007    0.000 net.py:23(cham)
        1    0.000    0.000    0.000    0.000 nosetester.py:109(NoseTester)
       19    0.000    0.000    0.000    0.000 nosetester.py:138(__init__)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        3    0.000    0.000    0.000    0.000 nosetester.py:82(_docmethod)
        1    0.001    0.001    0.002    0.002 npyio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 npyio.py:113(NpzFile)
        1    0.000    0.000    0.000    0.000 npyio.py:74(BagObj)
        1    0.002    0.002    0.004    0.004 numeric.py:1(<module>)
        2    0.000    0.000    0.000    0.000 numeric.py:1426(set_string_function)
        3    0.000    0.000    0.001    0.000 numeric.py:177(extend_all)
        1    0.000    0.000    0.000    0.000 numeric.py:2378(_unspecified)
        1    0.000    0.000    0.000    0.000 numeric.py:2382(errstate)
        1    0.000    0.000    0.000    0.000 numeric.py:2456(_setdef)
        1    0.000    0.000    0.000    0.000 numeric.py:36(ComplexWarning)
       66    0.000    0.000    0.000    0.000 numerictypes.py:125(english_lower)
       34    0.000    0.000    0.000    0.000 numerictypes.py:152(english_upper)
       11    0.000    0.000    0.000    0.000 numerictypes.py:179(english_capitalize)
       18    0.000    0.000    0.000    0.000 numerictypes.py:214(_evalname)
       23    0.000    0.000    0.000    0.000 numerictypes.py:227(bitname)
        1    0.000    0.000    0.000    0.000 numerictypes.py:279(_add_types)
        1    0.000    0.000    0.001    0.001 numerictypes.py:295(_add_aliases)
        1    0.000    0.000    0.000    0.000 numerictypes.py:336(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 numerictypes.py:377(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 numerictypes.py:426(_construct_char_code_lookup)
       30    0.000    0.000    0.000    0.000 numerictypes.py:441(_add_array_type)
        1    0.000    0.000    0.000    0.000 numerictypes.py:449(_set_array_types)
        1    0.000    0.000    0.000    0.000 numerictypes.py:688(_typedict)
        1    0.000    0.000    0.000    0.000 numerictypes.py:703(_construct_lookups)
        1    0.000    0.000    0.002    0.002 numerictypes.py:83(<module>)
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numpytest.py:10(IgnoreException)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
       11    0.000    0.000    0.000    0.000 opcode.py:31(name_op)
        6    0.000    0.000    0.000    0.000 opcode.py:35(jrel_op)
        6    0.000    0.000    0.000    0.000 opcode.py:39(jabs_op)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
      283    0.001    0.000    0.004    0.000 pkg_resources.py:1095(safe_name)
      271    0.001    0.000    0.003    0.000 pkg_resources.py:1103(safe_version)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1136(NullProvider)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1143(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1156(has_resource)
      169    0.001    0.000    0.005    0.000 pkg_resources.py:1159(has_metadata)
       76    0.000    0.000    0.004    0.000 pkg_resources.py:1163(get_metadata)
       76    0.000    0.000    0.004    0.000 pkg_resources.py:1173(get_metadata_lines)
      247    0.001    0.000    0.002    0.000 pkg_resources.py:1224(_fn)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1239(EggProvider)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1242(__init__)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1246(_setup_prefix)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1265(DefaultProvider)
      170    0.000    0.000    0.003    0.000 pkg_resources.py:1268(_has)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1277(get_resource_stream)
       76    0.000    0.000    0.003    0.000 pkg_resources.py:1280(_get)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1290(EmptyProvider)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1298(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1306(ZipProvider)
        1    0.002    0.002    0.261    0.261 pkg_resources.py:14(<module>)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:143(ResolutionError)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1474(FileMetadata)
